ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP1101EW0131,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_058, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0132,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_058, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0133,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_059, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0134,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_059, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0135,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_059, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0136,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_060, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0137,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_060, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0138,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_060, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0139,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_061, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0140,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_061, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0141,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_061, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0142,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_062, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0143,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_062, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0144,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_062, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0145,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_063, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0146,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_063, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0147,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_063, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0148,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_064, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0149,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_064, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
